symbol	kind	family	reference_source	firestaff_mapping	status	notes
F0019_MAIN_DisplayErrorAndStop	F	MAIN	ATARIST.H:13	-	MISSING	No exact numbered token found in Firestaff src/include; no implementation claim.
F019_aarz_	F	Atari ST / PRIM ABI alias	ATARIST.H:13	-	MISSING	No exact numbered token found in Firestaff src/include; no implementation claim.
F0020_MAIN_BlitToViewport	F	MAIN	ATARIST.H:14	src/nexus/nexus_v1_audio_receipt.c:38	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F020_aAA5_	F	Atari ST / PRIM ABI alias	ATARIST.H:14	src/nexus/nexus_v1_audio_receipt.c:38	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0021_MAIN_BlitToScreen	F	MAIN	ACTIDRAW.C:174	src/nexus/nexus_v1_engine.c:70	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F021_a002_	F	Atari ST / PRIM ABI alias	ATARIST.H:15	src/nexus/nexus_v1_engine.c:70	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0022_MAIN_Delay	F	MAIN	ATARIST.H:16	src/nexus/nexus_v1_game.c:17	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0022_MAIN_SwooshDelay	F	MAIN	FMTOWNS.H:391	src/nexus/nexus_v1_game.c:17	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F022_aaaU_	F	Atari ST / PRIM ABI alias	ATARIST.H:16	src/nexus/nexus_v1_game.c:17	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0023_MAIN_GetAbsoluteValue	F	MAIN	ATARIST.H:17	src/engine/m11_game_view.c:9883	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F023_aarz_	F	Atari ST / PRIM ABI alias	ATARIST.H:17	src/engine/m11_game_view.c:9883	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0024_MAIN_GetMinimumValue	F	MAIN	ATARIST.H:18	src/dm1/dm1_v1_skill_experience_pc34_compat.c:77	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F024_aatz_	F	Atari ST / PRIM ABI alias	ATARIST.H:18	src/dm1/dm1_v1_skill_experience_pc34_compat.c:77	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0025_MAIN_GetMaximumValue	F	MAIN	ATARIST.H:19	src/nexus/nexus_v1_champions.c:601	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F025_aatz_	F	Atari ST / PRIM ABI alias	ATARIST.H:19	src/nexus/nexus_v1_champions.c:601	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0026_MAIN_GetBoundedValue	F	MAIN	ATARIST.H:20	src/dm1/dm1_v1_combat_pc34_compat.c:140	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F026_a003_	F	Atari ST / PRIM ABI alias	ATARIST.H:20	src/dm1/dm1_v1_combat_pc34_compat.c:140	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0027_MAIN_Get16bitRandomNumber	F	MAIN	ATARIST.H:21	src/dm2/dm2_v1_runtime.c:3651	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F027_AA59_	F	Atari ST / PRIM ABI alias	ATARIST.H:21	src/dm2/dm2_v1_runtime.c:3651	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0028_MAIN_Get1BitRandomNumber	F	MAIN	ATARIST.H:22	src/dm1/dm1_v1_door_bash_stamina_feedback_pc34_compat.c:204	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F028_a000_	F	Atari ST / PRIM ABI alias	ATARIST.H:22	src/dm1/dm1_v1_door_bash_stamina_feedback_pc34_compat.c:204	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0029_MAIN_Get2BitRandomNumber	F	MAIN	ATARIST.H:23	src/dm2/dm2_v1_runtime.c:3651	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F029_AA19_	F	Atari ST / PRIM ABI alias	ATARIST.H:23	src/dm2/dm2_v1_runtime.c:3651	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0030_MAIN_GetScaledProduct	F	MAIN	ATARIST.H:24	src/dm1/dm1_v1_combat_pc34_compat.c:47	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F030_aaaW_	F	Atari ST / PRIM ABI alias	ATARIST.H:24	src/dm1/dm1_v1_combat_pc34_compat.c:47	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0031_OBJECT_LoadNames	F	OBJECT	ATARIST.H:25	src/csb/csb_v1_character_pc34_compat.c:92	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F031_aAA2_	F	Atari ST / PRIM ABI alias	ATARIST.H:25	src/csb/csb_v1_character_pc34_compat.c:92	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0032_OBJECT_GetType	F	OBJECT	OBJECT.C:121-145	src/dm1/dm1_v1_dungeon_thing_data_pc34_compat.c	IMPLEMENTED_NARROW	DM1 PC3.4 raw F0156 -> F0141 -> exact G0237 Type-column resolver; focused raw-record test.
F032_aaaY_	F	Atari ST / PRIM ABI alias	ATARIST.H:26	src/csb/csb_v1_viewport_pc34_compat.c:1829	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0033_OBJECT_GetIconIndex	F	OBJECT	OBJECT.C:147-213	src/dm1/dm1_v1_dungeon_thing_data_pc34_compat.c; src/engine/m11_game_view.c	IMPLEMENTED_NARROW	DM1 PC3.4 raw icon resolver covers compass direction, torch charge, scroll closed, charge icons; M11 inventory and leader-hand consumers now use it directly and fail closed without F0156 raw data; focused raw-record and M11 gate tests.
F033_aaaz_	F	Atari ST / PRIM ABI alias	ATARIST.H:27	src/csb/csb_v1_viewport_pc34_compat.c:1829	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0034_OBJECT_DrawLeaderHandObjectName	F	OBJECT	OBJECT.C:217; DATA.C:262	src/engine/m11_game_view.c:33781	IMPLEMENTED_NARROW	Normal DM1 V1 C017 clears at its source rectangle and draws the bounded leader-hand object name only through loaded PC34 M653 glyphs; missing font data remains clear with no generic host-font fallback. Real Mac capture across name lengths remains open.
F034_aaau_	F	Atari ST / PRIM ABI alias	ATARIST.H:28	src/csb/csb_v1_runtime_pc34_compat.c:10956	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0035_OBJECT_ClearLeaderHandObjectName	F	OBJECT	ATARIST.H:29	include/firestaff/dm1/v1/f0035_object_clear_leader_hand_object_name_isolated_c91f_pc34_compat.h	IMPLEMENTED_NARROW	Source C017 black-zone fill adapter; focused CTest.
F035_aaaw_	F	Atari ST / PRIM ABI alias	ATARIST.H:29	F0035_OBJECT_ClearLeaderHandObjectName	IMPLEMENTED_NARROW	ABI alias resolved through source-mapped F0035.
F0036_OBJECT_ExtractIconFromBitmap	F	OBJECT	ACTIDRAW.C:263	src/nexus/nexus_v1_engine.c:27	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F036_aA19_	F	Atari ST / PRIM ABI alias	ATARIST.H:30	src/nexus/nexus_v1_engine.c:27	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0037_OBJECT_DrawIconToScreen	F	OBJECT	OBJECT.C:346-369	src/dm1/dm1_v1_object_draw_icon_to_screen_pc34_compat.c	IMPLEMENTED_NARROW	Source-bound 16x16 transparent icon blit; focused CTest verifies origin, transparency, and invalid-source rejection.
F037_aA29_	F	Atari ST / PRIM ABI alias	ATARIST.H:31	src/nexus/nexus_v1_engine.c:89	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0038_OBJECT_DrawIconInSlotBox	F	OBJECT	OBJECT.C:395-423	src/engine/m11_game_view.c:37824	IMPLEMENTED_NARROW	Normal V1 inventory/chest C008..C037 slot route now accepts only exact loaded-pixel 18x18 C033 before drawing caller-owned icons; absent or mismatched GRAPHICS.DAT slot material is no-draw. Remaining icon-pixel parity capture is open.
F038_AA07_	F	Atari ST / PRIM ABI alias	ATARIST.H:32	src/dm1/dm1_v1_champion_panel_hand_slot_refresh_pc34_compat.c:8	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0039_OBJECT_GetIconIndexInSlotBox	F	OBJECT	ATARIST.H:33	src/dm1/dm1_v1_champion_panel_hand_slot_refresh_pc34_compat.c:96	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F039_aaaL_	F	Atari ST / PRIM ABI alias	ATARIST.H:33	src/dm1/dm1_v1_champion_panel_hand_slot_refresh_pc34_compat.c:96	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0040_TEXT_Print	F	TEXT	ATARIST.H:34	src/dm1/dm1_v1_line_feed_character_string_pc34_compat.c:10	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F040_aacZ_	F	Atari ST / PRIM ABI alias	ATARIST.H:34	src/dm1/dm1_v1_line_feed_character_string_pc34_compat.c:10	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0041_TEXT_PrintWithTrailingSpaces	F	TEXT	ACTIDRAW.C:361	src/nexus/nexus_v1_engine.c:91	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F041_aadZ_	F	Atari ST / PRIM ABI alias	ATARIST.H:35	src/nexus/nexus_v1_engine.c:91	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0042_TEXT_MESSAGEAREA_MoveCursor	F	TEXT	DEFS.H:6738	src/nexus/nexus_v1_audio_receipt.c:38	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0043_TEXT_MESSAGEAREA_ClearAllRows	F	TEXT	ATARIST.H:36	src/nexus/nexus_v1_audio_receipt.c:35	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F043_aahz_	F	Atari ST / PRIM ABI alias	ATARIST.H:36	src/nexus/nexus_v1_audio_receipt.c:35	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0044_TEXT_MESSAGEAREA_ClearExpiredRows	F	TEXT	DEFS.H:6749	src/nexus/nexus_v1_audio_receipt.c:42	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0045_TEXT_MESSAGEAREA_CreateNewRow	F	TEXT	DEFS.H:6754	src/dm1/dm1_v1_text_message_pc34_compat.c:8	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0046_TEXT_MESSAGEAREA_PrintString	F	TEXT	DEFS.H:6755	src/dm2/dm2_v1_boot.c:4142	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0047_TEXT_MESSAGEAREA_PrintMessage	F	TEXT	ATARIST.H:37	src/dm2/dm2_v1_boot.c:261	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F047_xzzz_	F	Atari ST / PRIM ABI alias	ATARIST.H:37	src/dm2/dm2_v1_boot.c:261	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0048_TEXT_MESSAGEAREA_PrintCharacter	F	TEXT	TEXT.C:1801	include/redmcsb_f0048_text_messagearea_print_character_pc34_compat.h	IMPLEMENTED_NARROW	Source two-byte character string and print callback; focused CTest.
F0049_TEXT_MESSAGEAREA_PrintInteger_Unreferenced	F	TEXT	TEXT.C:1817	include/redmcsb_f0049_text_messagearea_print_integer_unreferenced_pc34_compat.h	IMPLEMENTED_NARROW	Bounded source decimal formatter and print callback; focused CTest.
F0050_TEXT_MESSAGEAREA_PrintSpace_Unreferenced	F	TEXT	DEFS.H:6774	include/redmcsb_f0050_text_messagearea_print_space_unreferenced_pc34_compat.h	IMPLEMENTED_NARROW	TEXT.C source white-space print delegation; focused CTest.
F0051_TEXT_MESSAGEAREA_PrintLineFeed	F	TEXT	TEXT.C:1873	include/redmcsb_f0051_text_messagearea_print_linefeed_pc34_compat.h	IMPLEMENTED_NARROW	Source black line-feed callback; focused CTest.
F051_AA19_	F	Atari ST / PRIM ABI alias	ATARIST.H:38	src/nexus/nexus_v1_audio_receipt.c:47	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0052_TEXT_PrintToViewport	F	TEXT	TEXT.C:1883	include/redmcsb_f0052_text_print_to_viewport_pc34_compat.h	IMPLEMENTED_NARROW	Source F0040 forwarding with fixed viewport stride, background and height; focused CTest.
F052_aaoz_	F	Atari ST / PRIM ABI alias	ATARIST.H:39	src/dm1/dm1_v1_champion_panel_name_box_clip_pc34_compat.c:30	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0053_TEXT_PrintToLogicalScreen	F	TEXT	TEXT.C:1903	include/redmcsb_f0053_text_print_to_logical_screen_pc34_compat.h	IMPLEMENTED_NARROW	Source F0040 forwarding with C160 byte stride and C200 height; focused CTest.
F053_aajz_	F	Atari ST / PRIM ABI alias	ATARIST.H:40	src/nexus/nexus_v1_audio_receipt.c:37	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0054_TEXT_Initialize	F	TEXT	TEXT.C:1991	include/redmcsb_f0054_text_initialize_pc34_compat.h	IMPLEMENTED_NARROW	PC 3.4 cursor/allocation/font-load initialization callbacks; focused CTest.
F054_aAA1_	F	Atari ST / PRIM ABI alias	ATARIST.H:41	src/dm1/dm1_v1_game_state_pc34_compat.c:20	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0060_SOUND_Play_CPSX	F	SOUND	SOUND.C:887-931,1164-1246	src/csb/csb_v1_audio_runtime_pc34_compat.c	IMPLEMENTED_NARROW	Packed Atari ST PSG stream decode with source-owned amplitude runs; focused CTest.
F060_AA29_	F	Atari ST / PRIM ABI alias	ATARIST.H:42	src/nexus/nexus_v1_engine.c:66	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0061_SOUND_SetChannelAmplitudes	F	SOUND	DEFS.H:6829	src/dm2/dm2_v1_boot.c:240	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0062_SOUND_Initialize	F	SOUND	ATARIST.H:43	src/dm1/dm1_v1_sound_pc34_compat.c:404	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F062_aalz_	F	Atari ST / PRIM ABI alias	ATARIST.H:43	src/dm1/dm1_v1_sound_pc34_compat.c:404	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0063_SOUND_KeyClickOff	F	SOUND	ATARIST.H:44	src/dm1/dm1_v1_sound_pc34_compat.c:405	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F063_aA05_	F	Atari ST / PRIM ABI alias	ATARIST.H:44	src/dm1/dm1_v1_sound_pc34_compat.c:405	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0064_SOUND_RequestPlay_CPSD	F	SOUND	ATARIST.H:45	src/csb/csb_v1_audio_runtime_pc34_compat.c:113	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F064_aadz_	F	Atari ST / PRIM ABI alias	ATARIST.H:45	src/csb/csb_v1_audio_runtime_pc34_compat.c:113	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0065_SOUND_PlayPendingSound_CPSD	F	SOUND	ATARIST.H:46	src/nexus/nexus_v1_boot_profile.c:168	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F065_aanz_	F	Atari ST / PRIM ABI alias	ATARIST.H:46	src/nexus/nexus_v1_boot_profile.c:168	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0066_MOUSE_Initialize	F	MOUSE	ATARIST.H:47	src/dm1/dm1_v1_game_state_pc34_compat.c:20	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F066_aalz_	F	Atari ST / PRIM ABI alias	ATARIST.H:47	src/dm1/dm1_v1_game_state_pc34_compat.c:20	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0067_MOUSE_SetPointerToNormal	F	MOUSE	ATARIST.H:48	src/nexus/nexus_v1_engine.c:66	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F067_aaat_	F	Atari ST / PRIM ABI alias	ATARIST.H:48	src/nexus/nexus_v1_engine.c:66	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0068_MOUSE_SetPointerToObject	F	MOUSE	ATARIST.H:49	src/dm1/dm1_v1_champion_panel_hand_slot_refresh_pc34_compat.c:10	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F068_aagz_	F	Atari ST / PRIM ABI alias	ATARIST.H:49	src/dm1/dm1_v1_champion_panel_hand_slot_refresh_pc34_compat.c:10	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0069_MOUSE_SetPointer	F	MOUSE	ATARIST.H:50	src/theron/theron_v1_track19_inventory.c:3	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F069_aaaL_	F	Atari ST / PRIM ABI alias	ATARIST.H:50	src/theron/theron_v1_track19_inventory.c:3	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	F	MOUSE	ATARIST.H:51	src/nexus/nexus_v1_game.c:18	UNCERTAIN_NUMBERED_EVIDENCE	Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
