symbol	family	source_file	source_line	semantic_role	semantic_domain	firestaff_mapping	firestaff_status	evidence
C002_COMMAND_TURN_RIGHT	constant	DEFS.H	239	classified input-ui constant	input-ui	src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:239 = 2; 17 source reference(s); semantic candidate: src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c
C002_DERIVED_BITMAP_DAMAGE_TO_CREATURE_MEDIUM	constant	DEFS.H	2410	classified dungeon-world constant	dungeon-world	src/dm1/dm1_v1_dungeon_data_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2410 = 2 /* Used for scaled down graphic #14 to 64x37 pixels */; 4 source reference(s); semantic candidate: src/dm1/dm1_v1_dungeon_data_pc34_compat.c
C002_EXPLOSION_LIGHTNING_BOLT	constant	DEFS.H	1554	classified spell-timeline constant	spell-timeline	src/dm1/dm1_v1_spell_casting_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1554 = 2; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_spell_casting_pc34_compat.c
C002_FLOOR_SET_GRAPHIC_COUNT	constant	DEFS.H	2423	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2423 = 2; 2 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C002_GRAPHIC_ENTRANCE_LEFT_DOOR	constant	DEFS.H	2166	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2166 = 2; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C002_OBJECT_INFO_INDEX_FIRST_POTION	constant	DEFS.H	1693	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1693 = 2; 4 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C002_SENSOR_FLOOR_THERON_PARTY_CREATURE	constant	DEFS.H	1258	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1258 = 2 /* Triggered by party/thing F0276_SENSOR_ProcessThingAdditionOrRemoval */; 2 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C002_SENSOR_WALL_ORNAMENT_CLICK_WITH_ANY_OBJECT	constant	DEFS.H	1267	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1267 = 2 /* Triggered by player click F0275_SENSOR_IsTriggeredByClickOnWall */; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C002_ZONE_SCREEN	constant	DEFS.H	3748	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:3748 = 2; 16 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C003_ACTION_X	constant	DEFS.H	1811	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1811 = 3; 1 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C003_ALCOVE_ORNAMENT_COUNT	constant	DEFS.H	2434	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2434 = 3; 11 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C003_COMMAND_MOVE_FORWARD	constant	DEFS.H	240	classified input-ui constant	input-ui	src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:240 = 3; 19 source reference(s); semantic candidate: src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c
C003_DERIVED_BITMAP_DAMAGE_TO_CREATURE_SMALL	constant	DEFS.H	2411	classified dungeon-world constant	dungeon-world	src/dm1/dm1_v1_dungeon_data_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2411 = 3 /* Used for scaled down graphic #14 to 42x37 pixels */; 4 source reference(s); semantic candidate: src/dm1/dm1_v1_dungeon_data_pc34_compat.c
C003_DOOR_SET_GRAPHIC_COUNT	constant	DEFS.H	2431	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2431 = 3; 8 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C003_EXPLOSION_HARM_NON_MATERIAL	constant	DEFS.H	1555	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1555 = 3; 1 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C003_GRAPHIC_ENTRANCE_RIGHT_DOOR	constant	DEFS.H	2167	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2167 = 3; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C003_ICON_JUNK_COMPASS_WEST	constant	DEFS.H	1888	classified input-ui constant	input-ui	src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1888 = 3; 4 source reference(s); semantic candidate: src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c
C003_SENSOR_FLOOR_PARTY	constant	DEFS.H	1259	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1259 = 3 /* Triggered by party/thing F0276_SENSOR_ProcessThingAdditionOrRemoval */; 2 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C003_SENSOR_WALL_ORNAMENT_CLICK_WITH_SPECIFIC_OBJECT	constant	DEFS.H	1268	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1268 = 3 /* Triggered by player click F0275_SENSOR_IsTriggeredByClickOnWall */; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C004_ACTION_BLOW_HORN	constant	DEFS.H	1812	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1812 = 4; 4 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C004_COMMAND_MOVE_RIGHT	constant	DEFS.H	241	classified input-ui constant	input-ui	src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:241 = 4; 15 source reference(s); semantic candidate: src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c
C004_DERIVED_BITMAP_FIRST_WALL_ORNAMENT	constant	DEFS.H	2412	classified dungeon-world constant	dungeon-world	src/dm1/dm1_v1_dungeon_data_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2412 = 4 /* Versions 1.x and 2.x: 64 bitmaps: 4 bitmaps (two bitmaps per wall ornament, scaled 16/32 for D3 and 20/32 for D2) for each of the 16 possible wall ornaments per map (including inscription) in G0101_as_CurrentMapWallOrnamentsInfo. */; 5 source reference(s); semantic candidate: src/dm1/dm1_v1_dungeon_data_pc34_compat.c
C004_EXPLOSION_ASPECT_COUNT	constant	DEFS.H	2436	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:2436 = 4; 6 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C004_EXPLOSION_OPEN_DOOR	constant	DEFS.H	1556	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1556 = 4; 1 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C004_GRAPHIC_ENTRANCE	constant	DEFS.H	2168	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2168 = 4; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C004_ICON_WEAPON_TORCH_UNLIT	constant	DEFS.H	1889	classified creature-combat constant	creature-combat	src/dm1/dm1_v1_creature_ai_behavior_pc34_compat.c; src/dm1/dm1_v1_combat_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1889 = 4; 11 source reference(s); semantic candidate: src/dm1/dm1_v1_creature_ai_behavior_pc34_compat.c; src/dm1/dm1_v1_combat_pc34_compat.c
C004_SENSOR_FLOOR_OBJECT	constant	DEFS.H	1260	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1260 = 4 /* Triggered by party/thing F0276_SENSOR_ProcessThingAdditionOrRemoval */; 2 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C004_SENSOR_WALL_ORNAMENT_CLICK_WITH_SPECIFIC_OBJECT_REMOVED	constant	DEFS.H	1269	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1269 = 4 /* Triggered by player click F0275_SENSOR_IsTriggeredByClickOnWall */; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C004_ZONE_EXPLOSION_PATTERN_D0C	constant	DEFS.H	3749	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:3749 = 4; 3 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C005_ACTION_FLIP	constant	DEFS.H	1813	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1813 = 5; 2 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C005_COMMAND_MOVE_BACKWARD	constant	DEFS.H	242	classified input-ui constant	input-ui	src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:242 = 5; 15 source reference(s); semantic candidate: src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c
C005_GRAPHIC_CREDITS	constant	DEFS.H	2169	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2169 = 5; 9 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C005_SENSOR_FLOOR_PARTY_ON_STAIRS	constant	DEFS.H	1261	classified dungeon-world constant	dungeon-world	src/dm1/dm1_v1_dungeon_data_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1261 = 5 /* Triggered by party/thing F0276_SENSOR_ProcessThingAdditionOrRemoval */; 2 source reference(s); semantic candidate: src/dm1/dm1_v1_dungeon_data_pc34_compat.c
C005_SENSOR_WALL_AND_OR_GATE	constant	DEFS.H	1270	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1270 = 5 /* Triggered by event F0248_TIMELINE_ProcessEvent6_Square_Wall */; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C005_ZONE_SCREEN_CENTERED_DIALOG	constant	DEFS.H	3750	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:3750 = 5; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C006_ACTION_PUNCH	constant	DEFS.H	1814	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1814 = 6; 2 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C006_COMMAND_MOVE_LEFT	constant	DEFS.H	243	classified input-ui constant	input-ui	src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:243 = 6; 17 source reference(s); semantic candidate: src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c
C006_EXPLOSION_POISON_BOLT	constant	DEFS.H	1557	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1557 = 6; 3 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C006_GRAPHIC_THE_END	constant	DEFS.H	2170	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2170 = 6; 6 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C006_SENSOR_FLOOR_GROUP_GENERATOR	constant	DEFS.H	1262	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1262 = 6 /* Triggered by event F0245_TIMELINE_ProcessEvent5_Square_Corridor */; 5 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C006_SENSOR_WALL_COUNTDOWN	constant	DEFS.H	1271	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1271 = 6 /* Triggered by event F0248_TIMELINE_ProcessEvent6_Square_Wall */; 3 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C006_ZONE_VIEWPORT_CENTERED_TEXT	constant	DEFS.H	3751	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:3751 = 6; 7 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C007_ACTION_KICK	constant	DEFS.H	1815	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1815 = 7; 2 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C007_CHAMPION_NAME_MAXIMUM_LENGTH	constant	DEFS.H	2862	classified champion-inventory constant	champion-inventory	src/dm1/dm1_v1_inventory_pc34_compat.c; src/dm1/dm1_v1_champion_panel_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2862 = 7; 4 source reference(s); semantic candidate: src/dm1/dm1_v1_inventory_pc34_compat.c; src/dm1/dm1_v1_champion_panel_pc34_compat.c
C007_COMMAND_TOGGLE_INVENTORY_CHAMPION_0	constant	DEFS.H	244	classified champion-inventory constant	champion-inventory	src/dm1/dm1_v1_inventory_pc34_compat.c; src/dm1/dm1_v1_champion_panel_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:244 = 7; 15 source reference(s); semantic candidate: src/dm1/dm1_v1_inventory_pc34_compat.c; src/dm1/dm1_v1_champion_panel_pc34_compat.c
C007_EXPLOSION_POISON_CLOUD	constant	DEFS.H	1558	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1558 = 7; 3 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C007_GRAPHIC_STATUS_BOX	constant	DEFS.H	2171	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2171 = 7 /* This graphic is never used */; 4 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C007_ICON_WEAPON_TORCH_LIT	constant	DEFS.H	1890	classified creature-combat constant	creature-combat	src/dm1/dm1_v1_creature_ai_behavior_pc34_compat.c; src/dm1/dm1_v1_combat_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1890 = 7; 6 source reference(s); semantic candidate: src/dm1/dm1_v1_creature_ai_behavior_pc34_compat.c; src/dm1/dm1_v1_combat_pc34_compat.c
C007_SECTOR_7	constant	ATARIST.H	449	classified unclassified constant	unclassified	none; source platform/toolchain state	out-of-scope: platform/toolchain	definition ATARIST.H:449 = 7; 7 source reference(s); source-only platform state; no Firestaff parity claim
C007_SENSOR_FLOOR_CREATURE	constant	DEFS.H	1263	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1263 = 7 /* Triggered by party/thing F0276_SENSOR_ProcessThingAdditionOrRemoval */; 2 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C007_SENSOR_WALL_SINGLE_PROJECTILE_LAUNCHER_NEW_OBJECT	constant	DEFS.H	1272	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1272 = 7 /* Triggered by event F0248_TIMELINE_ProcessEvent6_Square_Wall */; 4 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C007_ZONE_VIEWPORT	constant	DEFS.H	3752	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:3752 = 7; 8 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
C008_ACTION_WAR_CRY	constant	DEFS.H	1816	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:1816 = 8; 4 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C008_BYTE_WIDTH	constant	DEFS.H	2470	classified unclassified constant	unclassified	none; no direct Firestaff counterpart	unmapped / no direct counterpart	definition DEFS.H:2470 = 8; 14 source reference(s); no direct C/G storage counterpart; Firestaff uses named module state
C008_COMMAND_TOGGLE_INVENTORY_CHAMPION_1	constant	DEFS.H	245	classified champion-inventory constant	champion-inventory	src/dm1/dm1_v1_inventory_pc34_compat.c; src/dm1/dm1_v1_champion_panel_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:245 = 8; 13 source reference(s); semantic candidate: src/dm1/dm1_v1_inventory_pc34_compat.c; src/dm1/dm1_v1_champion_panel_pc34_compat.c
C008_GRAPHIC_STATUS_BOX_DEAD_CHAMPION	constant	DEFS.H	2172	classified champion-inventory constant	champion-inventory	src/dm1/dm1_v1_inventory_pc34_compat.c; src/dm1/dm1_v1_champion_panel_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:2172 = 8; 6 source reference(s); semantic candidate: src/dm1/dm1_v1_inventory_pc34_compat.c; src/dm1/dm1_v1_champion_panel_pc34_compat.c
C008_ICON_JUNK_WATER	constant	DEFS.H	1891	classified input-ui constant	input-ui	src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1891 = 8; 5 source reference(s); semantic candidate: src/dm1/dm1_v1_mouse_routes_pc34_compat.c; src/dm1/dm1_v1_click_routing_pc34_compat.c
C008_SENSOR_FLOOR_PARTY_POSSESSION	constant	DEFS.H	1264	classified viewport-rendering constant	viewport-rendering	src/dm1/dm1_v1_viewport_3d_pc34_compat.c	semantic candidate (unverified)	definition DEFS.H:1264 = 8 /* Triggered by party/thing F0276_SENSOR_ProcessThingAdditionOrRemoval */; 2 source reference(s); semantic candidate: src/dm1/dm1_v1_viewport_3d_pc34_compat.c
