family	id	symbol	redmcsb_source	semantic_owner	classification	port_role	firestaff_mapping	disposition
L	0006	L0006_ps_Junk	OBJECT.C:156	F0033_OBJECT_GetIconIndex	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:26804	explicit_non_port_local_state
L	0007	L0007_i_IconIndex	OBJECT.C:223	F0034_OBJECT_DrawLeaderHandObjectName	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:33839	explicit_non_port_local_state
L	0008	L0008_pc_ObjectName	OBJECT.C:221	F0034_OBJECT_DrawLeaderHandObjectName	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:33839	explicit_non_port_local_state
L	0009	L0009_ps_Junk	OBJECT.C:222	F0034_OBJECT_DrawLeaderHandObjectName	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:33839	explicit_non_port_local_state
L	0010	L0010_ac_ObjectName	OBJECT.C:224	F0034_OBJECT_DrawLeaderHandObjectName	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:33839	explicit_non_port_local_state
L	0011	L0011_ui_Counter	OBJECT.C:298	F0036_OBJECT_ExtractIconFromBitmap	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:tests/test_dm1_v1_object_draw_icon_to_screen_pc34_compat.c:68	explicit_non_port_local_state
L	0012	L0012_pl_Bitmap_Icon	OBJECT.C:299	F0036_OBJECT_ExtractIconFromBitmap	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:tests/test_dm1_v1_object_draw_icon_to_screen_pc34_compat.c:68	explicit_non_port_local_state
L	0013	L0013_puc_Bitmap_Icon	OBJECT.C:351	F0037_OBJECT_DrawIconToScreen	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:tests/test_dm1_v1_object_draw_icon_to_screen_pc34_compat.c:60	explicit_non_port_local_state
L	0014	L0014_ai_Box	OBJECT.C:352	F0037_OBJECT_DrawIconToScreen	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:tests/test_dm1_v1_object_draw_icon_to_screen_pc34_compat.c:60	explicit_non_port_local_state
L	0015	L0015_ui_IconGraphicIndex	OBJECT.C:410	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:37881	explicit_non_port_local_state
L	0016	L0016_i_ByteWidth	OBJECT.C:423	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:37881	explicit_non_port_local_state
L	0017	L0017_ps_SlotBox	OBJECT.C:412	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:37881	explicit_non_port_local_state
L	0018	L0018_puc_Bitmap_Icons	OBJECT.C:414	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:37881	explicit_non_port_local_state
L	0019	L0019_ai_Box	OBJECT.C:416	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:37881	explicit_non_port_local_state
L	0020	L0020_puc_Bitmap_Destination	OBJECT.C:417	F0038_OBJECT_DrawIconInSlotBox	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:37881	explicit_non_port_local_state
L	0021	L0021_i_CharacterIndex	TEXT.C:1250	F0041_TEXT_PrintWithTrailingSpaces;F0768_TEXT_PrintToZoneWithTrailingSpaces	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_champion_panel_pressing_mouth_eye_statusbox_pc34_compat.c:25	explicit_non_port_local_state
L	0022	L0022_ac_String	TEXT.C:1249	F0041_TEXT_PrintWithTrailingSpaces;F0768_TEXT_PrintToZoneWithTrailingSpaces	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_champion_panel_pressing_mouth_eye_statusbox_pc34_compat.c:25	explicit_non_port_local_state
L	0023	L0023_RowIndex	TEXT.C:1353	F0043_TEXT_MESSAGEAREA_ClearAllRows	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0024	L0024_ai_Box	TEXT.C:1359	F0043_TEXT_MESSAGEAREA_ClearAllRows	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0025	L0025_i_Unreferenced	TEXT.C:1423	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/nexus/nexus_v1_world.c:366	explicit_non_port_local_state
L	0026	L0026_ui_RowIndex	TEXT.C:1425	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/nexus/nexus_v1_world.c:366	explicit_non_port_local_state
L	0027	L0027_l_ExpirationTime	TEXT.C:1426	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/nexus/nexus_v1_world.c:366	explicit_non_port_local_state
L	0028	L0028_ai_Box	TEXT.C:1428	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/nexus/nexus_v1_world.c:366	explicit_non_port_local_state
L	0028	L0028_ai_XYZ	TEXT.C:1431	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/nexus/nexus_v1_world.c:366	explicit_non_port_local_state
L	0029	L0029_ui_RowIndex	TEXT.C:1518	F0045_TEXT_MESSAGEAREA_CreateNewRow	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_text_message_pc34_compat.c:55	explicit_non_port_local_state
L	0030	L0030_i_StringLength	TEXT.C:1573	F0046_TEXT_MESSAGEAREA_PrintString	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_text_message_pc34_compat.c:82	explicit_non_port_local_state
L	0031	L0031_CharacterIndex	TEXT.C:1679	F0047_TEXT_MESSAGEAREA_PrintMessage	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:10792	explicit_non_port_local_state
L	0032	L0032_i_SpaceString	TEXT.C:1678	F0047_TEXT_MESSAGEAREA_PrintMessage	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:10792	explicit_non_port_local_state
L	0033	L0033_ac_String	TEXT.C:1680	F0047_TEXT_MESSAGEAREA_PrintMessage	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:10792	explicit_non_port_local_state
L	0034	L0034_ac_String	TEXT.C:1808	F0048_TEXT_MESSAGEAREA_PrintCharacter	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0035	L0035_ui_CharacterIndex	TEXT.C:1824	F0049_TEXT_MESSAGEAREA_PrintInteger_Unreferenced	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0036	L0036_ac_String	TEXT.C:1825	F0049_TEXT_MESSAGEAREA_PrintInteger_Unreferenced	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0037	L0037_ui_LineIndex	TEXT.C:1997	F0054_TEXT_Initialize	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_game_state_pc34_compat.c:20	explicit_non_port_local_state
L	0038	L0038_l_NextSoundSample	SOUND.C:887	F0060_SOUND_Play_CPSX	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:include/csb_v1_audio_runtime_pc34_compat.h:9	explicit_non_port_local_state
L	0039	L0039_i_RemainingSoundSampleCount	SOUND.C:888	F0060_SOUND_Play_CPSX	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:include/csb_v1_audio_runtime_pc34_compat.h:9	explicit_non_port_local_state
L	0040	L0040_i_PSGModeRegisterBackup	SOUND.C:889	F0060_SOUND_Play_CPSX	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:include/csb_v1_audio_runtime_pc34_compat.h:9	explicit_non_port_local_state
L	0041	L0041_l_SupervisorStack	SOUND.C:890	F0060_SOUND_Play_CPSX	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:include/csb_v1_audio_runtime_pc34_compat.h:9	explicit_non_port_local_state
L	0042	L0042_l_Multiple	SOUND.C:1148	F0061_SOUND_SetChannelAmplitudes	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:include/csb_v1_audio_runtime_pc34_compat.h:10	explicit_non_port_local_state
L	0043	L0043_l_SupervisorStack	SOUND.C:1348	F0063_SOUND_KeyClickOff	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0044	L0044_ps_Sound	SOUND.C:1490	F0064_SOUND_RequestPlay_CPSD	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:include/csb_v1_audio_runtime_pc34_compat.h:11	explicit_non_port_local_state
L	0045	L0045_s_Event	SOUND.C:1503	F0064_SOUND_RequestPlay_CPSD	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:include/csb_v1_audio_runtime_pc34_compat.h:11	explicit_non_port_local_state
L	0046	L0046_SoundVolume	SOUND.C:1492	F0064_SOUND_RequestPlay_CPSD	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:include/csb_v1_audio_runtime_pc34_compat.h:11	explicit_non_port_local_state
L	0047	L0047_i_DistanceToParty	SOUND.C:1498	F0064_SOUND_RequestPlay_CPSD	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:include/csb_v1_audio_runtime_pc34_compat.h:11	explicit_non_port_local_state
L	0048	L0048_ps_Sound	SOUND.C:1763	F0065_SOUND_PlayPendingSound_CPSD	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:include/csb_v1_audio_runtime_pc34_compat.h:12	explicit_non_port_local_state
L	0049	L0049_ps_Kbdvecs	IO.C:1351	F0066_MOUSE_Initialize	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_game_state_pc34_compat.c:20	explicit_non_port_local_state
L	0050	L0050_i_Unreferenced	IO.C:1353	F0066_MOUSE_Initialize	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_game_state_pc34_compat.c:20	explicit_non_port_local_state
L	0051	L0051_puc_Bitmap	IO.C:2110	F0068_MOUSE_SetPointerToObject	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_champion_panel_hand_slot_refresh_pc34_compat.c:122	explicit_non_port_local_state
L	0052	L0052_ui_ChampionIconIndex	IO.C:2363	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0053	L0053_i_ChampionIndex	IO.C:2360	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0054	L0054_i_ChampionIndex	IO.C:2374	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0055	L0055_pi_ChampionIconBox	IO.C:2376	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0056	L0056_puc_Bitmap	IO.C:2381	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0057	L0057_B_UseByteBoxCoordinatesBackup	IO.C:2654	F0071_MOUSE_DropChampionIcon	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/nexus/nexus_v1_world.c:268	explicit_non_port_local_state
L	0058	L0058_ui_ChampionIconIndex	IO.C:2655	F0071_MOUSE_DropChampionIcon	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/nexus/nexus_v1_world.c:268	explicit_non_port_local_state
L	0059	L0059_ul_X	IO.C:2744	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0060	L0060_ul_Y	IO.C:2745	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0061	L0061_i_Height	IO.C:2746	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0062	L0062_i_PixelWidth	IO.C:2747	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0063	L0063_puc_Bitmap_ModifiedColors	IO.C:2748	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0064	L0064_puc_Bitmap_OriginalColors	IO.C:2749	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0065	L0065_auc_Box	IO.C:2750	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0066	L0066_B_UseByteBoxCoordinatesBackup	IO.C:2751	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0067	L0067_i_MousePointerRightPadding	IO.C:2752	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0068	L0068_puc_Bitmap	IO.C:2753	F0073_MOUSE_BuildPointerScreenArea	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=none	explicit_non_port_local_state
L	0069	L0069_i_PaletteIndex	DUNVIEW.C:2003	F0093_DUNGEONVIEW_ApplyCreatureReplacementColors	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:24489	explicit_non_port_local_state
L	0070	L0070_i_WallSetLastGraphicIndex	DUNVIEW.C:2137	F0095_DUNGEONVIEW_LoadWallSet	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:20984	explicit_non_port_local_state
L	0071	L0071_pi_BitmapIndices	DUNVIEW.C:2139	F0095_DUNGEONVIEW_LoadWallSet	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:20984	explicit_non_port_local_state
L	0071	L0071_ppuc_Bitmaps	DUNVIEW.C:2135	F0095_DUNGEONVIEW_LoadWallSet	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:20984	explicit_non_port_local_state
L	0072	L0072_i_Multiple	DUNVIEW.C:2242	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0073	L0073_i_Multiple	DUNVIEW.C:2243	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0074	L0074_ui_Multiple	DUNVIEW.C:2253	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0075	L0075_ui_Multiple	DUNVIEW.C:2262	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0076	L0076_puc_Multiple	DUNVIEW.C:2237	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0077	L0077_pi_GraphicIndices	DUNVIEW.C:2232	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0078	L0078_pi_GraphicIndex	DUNVIEW.C:2235	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0079	L0079_auc_DoorSets	DUNVIEW.C:2268	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0080	L0080_i_CreatureTypeIndex	DUNVIEW.C:2269	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0081	L0081_B_FirstFunctionCallOrSmallHeapMemory	DUNVIEW.C:2270	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0082	L0082_i_Unreferenced	DUNVIEW.C:2272	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0083	L0083_i_CreatureAdditionalGraphicCount	DUNVIEW.C:2281	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0084	L0084_i_Multiple	DUNVIEW.C:2277	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0085	L0085_i_MapAlcoveGraphicCount	DUNVIEW.C:2288	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0086	L0086_i_MapFountainGraphicCount	DUNVIEW.C:2289	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0087	L0087_B_OpenGraphicsDatRequired	DUNVIEW.C:2290	F0096_DUNGEONVIEW_LoadCurrentMapGraphics_CPSDF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:21465	explicit_non_port_local_state
L	0088	L0088_i_Multiple	DUNVIEW.C:3532	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0089	L0089_i_Multiple	DUNVIEW.C:3538	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0090	L0090_puc_Multiple	DUNVIEW.C:3512	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0091	L0091_puc_Multiple	DUNVIEW.C:3516	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0092	L0092_puc_Bitmap	DUNVIEW.C:3521	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0093	L0093_i_CoordinateSetOffset	DUNVIEW.C:3545	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0094	L0094_B_FlipHorizontal	DUNVIEW.C:3530	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0095	L0095_B_IsInscription	DUNVIEW.C:3548	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0096	L0096_B_IsAlcove	DUNVIEW.C:3536	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0097	L0097_i_Multiple	DUNVIEW.C:3526	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0097	L0097_i_TextLineIndex	DUNVIEW.C:3551	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0098	L0098_auc_Frame	DUNVIEW.C:3552	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0099	L0099_auc_InscriptionString	DUNVIEW.C:3559	F0107_DUNGEONVIEW_IsDrawnWallOrnamentAnAlcove_CPSF	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:19474	explicit_non_port_local_state
L	0100	L0100_i_NativeBitmapIndex	DUNVIEW.C:3951	F0108_DUNGEONVIEW_DrawFloorOrnament	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:24980	explicit_non_port_local_state
L	0101	L0101_B_DrawFootprints	DUNVIEW.C:3956	F0108_DUNGEONVIEW_DrawFloorOrnament	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:24980	explicit_non_port_local_state
L	0102	L0102_puc_Bitmap	DUNVIEW.C:3949	F0108_DUNGEONVIEW_DrawFloorOrnament	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:24980	explicit_non_port_local_state
L	0103	L0103_puc_CoordinateSet	DUNVIEW.C:3950	F0108_DUNGEONVIEW_DrawFloorOrnament	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/engine/m11_game_view.c:24980	explicit_non_port_local_state
L	0104	L0104_i_NativeBitmapIndex	DUNVIEW.C:4031	F0109_DUNGEONVIEW_DrawDoorOrnament	function_local_storage	automatic function-local storage	no standalone Firestaff mapping; owner trace=trace_only:src/dm1/dm1_v1_viewport_d2l_d2r_f0107_wall_ornament_pc34_compat.md:10	explicit_non_port_local_state
