reference	symbol	disposition	owner	evidence	notes
ReDMCSB	F1128_IsLeftMouseButtonDown	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1128_f2008_f2009_f2010_f2024_f2047_f2048_mouse_accessors_pc34_compat.c	Models FILLBOX.C:6 as a caller-owned mouse-button status read; no host cursor polling or button synthesis is performed.
ReDMCSB	F1133_AddCopperInterrupt	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGINIT.C:550 / COPERINT.C as an Amiga Copper interrupt install boundary; no portable interrupt handler or display-list substitute is claimed.
ReDMCSB	F1134_RemoveCopperInterrupt	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGINIT.C:668 / COPERINT.C as an Amiga Copper interrupt removal boundary; no host interrupt teardown or Copper state is synthesized.
ReDMCSB	F1135_CopperInterrupt_CPSX	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models COPERINT.C:9 as an Amiga Copper interrupt CPSX entry; no portable PC3.4 interrupt contract is claimed.
ReDMCSB	F1140_InitializeColorPaletteFullBlack	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGAVID.C:32 as an Amiga video palette initialization boundary; PC34 black-palette/curtain behavior remains owned by verified video-driver routes, with no synthetic palette write here.
ReDMCSB	F1148_CustomExceptCode_CPSX	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models COPYPROE.C:14 as copy-protection exception code; no portable exception behavior, disk check, or protection state is synthesized.
ReDMCSB	F1149_Init_CPSX	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGINIT.C:553 / COPYPROE.C as Amiga copy-protection/platform initialization; no portable CPSX initialization or host device state is synthesized.
ReDMCSB	F1150_Free_CPSX	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGINIT.C:665 / COPYPROE.C as Amiga copy-protection/platform teardown; no portable CPSX teardown or host device state is synthesized.
ReDMCSB	F1157_BackupA5	NON_APPLICABLE_PLATFORM_BOUNDARY	DM1	include/dm1_v1_amiga_platform_boundary_pc34_compat.h; src/dm1/dm1_v1_amiga_platform_boundary_pc34_compat.c; tests/test_dm1_v1_f0513_amiga_dialog_platform_boundary_pc34_compat.c	Models AMIGINIT.C:48 as an Amiga register/ABI helper; no portable A5-register backup contract is claimed.
ReDMCSB	F1172_QueueMouseAndKeyboardInput	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1172_f1173_f1174_usio_input_queue_pc34_compat.c	Models USIO2.C:13 as a bounded bridge from explicit caller-owned USIO keyboard/mouse samples into the DM1 command queue; no host input polling, raw keyboard data, or mouse coordinates are synthesized.
ReDMCSB	F1173_AddUsioDataToInputQueue	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1172_f1173_f1174_usio_input_queue_pc34_compat.c	Models USIO1.C:177 by mapping caller-owned USIO keyboard/mouse records through the existing COMMAND.C PC34 key/mouse command tables and queue saturation rules.
ReDMCSB	F1174_AddPendingUsioDataToInputQueue	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1172_f1173_f1174_usio_input_queue_pc34_compat.c	Models USIO2.C:264 pending-USIO replay over caller-owned pending state; the pending record is cleared only after an accepted enqueue and is preserved when the command queue rejects it.
ReDMCSB	F1684_GetMouseStatus	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1684_f1694_usio_mouse_input_pc34_compat.c	Models USIO1.C:80 as a caller-owned mouse-status copy into output fields; no host cursor polling, coordinate sampling, or button synthesis is performed.
ReDMCSB	F1690_GetASCIICode	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_poll_pc34_compat.h; src/dm1/dm1_v1_input_poll_pc34_compat.c; tests/test_dm1_v1_f1690_f1691_f1692_usio_keyboard_input_pc34_compat.c	Models USIO2.C:287 as bounded caller-owned raw-key ASCII extraction; PC34 preserves only explicit low-byte ASCII/control values and does not synthesize scan-code translation, host polling, or fallback keyboard data.
ReDMCSB	F1691_Cconis	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_poll_pc34_compat.h; src/dm1/dm1_v1_input_poll_pc34_compat.c; tests/test_dm1_v1_f1690_f1691_f1692_usio_keyboard_input_pc34_compat.c	Models USIO2.C:282 as caller-owned key-buffer availability; no host keyboard state, blocking wait, or synthetic input event is introduced.
ReDMCSB	F1692_Crawcin	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_poll_pc34_compat.h; src/dm1/dm1_v1_input_poll_pc34_compat.c; tests/test_dm1_v1_f1690_f1691_f1692_usio_keyboard_input_pc34_compat.c	Models USIO2.C:15 as bounded extraction from the caller-owned keyboard buffer; empty buffers return 0 and no host-input wait or fabricated key value is synthesized.
ReDMCSB	F1694_AddMouseInputToQueue	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1684_f1694_usio_mouse_input_pc34_compat.c	Models USIO1.C:164 by routing explicit mouse X/Y/button parameters through the existing COMMAND.C mouse command tables and queue saturation rules.
ReDMCSB	F1909_CopyStringUntilCharacter	VERIFIED_SOURCE_MAPPING	DM1	include/dm1_v1_hint_string_helpers_pc34_compat.h; src/dm1/dm1_v1_hint_string_helpers_pc34_compat.c; tests/test_dm1_v1_hint_string_helpers_pc34_compat.c	Models HINTHINT.C:179 as a caller-owned hint text copy until delimiter; the PC34 callable bounds the destination and does not synthesize HTC/file/oracle data.
ReDMCSB	F1984_ConvertCharacterToLowerCase	VERIFIED_SOURCE_MAPPING	DM1	include/dm1_v1_hint_string_helpers_pc34_compat.h; src/dm1/dm1_v1_hint_string_helpers_pc34_compat.c; tests/test_dm1_v1_hint_string_helpers_pc34_compat.c	Models HINTCASE.C:13 as the ASCII A-Z lowercase helper used by hint text paths; non-uppercase and non-ASCII byte values pass through unchanged.
ReDMCSB	F2008_IsLeftMouseButtonDown	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1128_f2008_f2009_f2010_f2024_f2047_f2048_mouse_accessors_pc34_compat.c	Models CEDT006.C:1323 as a caller-owned left-button status read; no editor host event or mouse state is synthesized.
ReDMCSB	F2009_GetMouseX	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1128_f2008_f2009_f2010_f2024_f2047_f2048_mouse_accessors_pc34_compat.c	Models CEDT006.C:1324 as a caller-owned mouse X coordinate read; absent status fails closed to zero.
ReDMCSB	F2010_GetMouseY	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1128_f2008_f2009_f2010_f2024_f2047_f2048_mouse_accessors_pc34_compat.c	Models CEDT006.C:1324 as a caller-owned mouse Y coordinate read; absent status fails closed to zero.
ReDMCSB	F2014_ConvertStringToLowerCase	VERIFIED_SOURCE_MAPPING	DM1	include/dm1_v1_hint_string_helpers_pc34_compat.h; src/dm1/dm1_v1_hint_string_helpers_pc34_compat.c; tests/test_dm1_v1_hint_string_helpers_pc34_compat.c	Models HINT001.C:8 as in-place NUL-terminated hint text lowercasing via F1984; no hint file, screen, palette, or oracle state is synthesized.
ReDMCSB	F2024_IsLeftMouseButtonDown	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1128_f2008_f2009_f2010_f2024_f2047_f2048_mouse_accessors_pc34_compat.c	Models HINT001.C:219 as a caller-owned left-button status read; no hint-oracle input event is synthesized.
ReDMCSB	F2047_GetMouseX	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1128_f2008_f2009_f2010_f2024_f2047_f2048_mouse_accessors_pc34_compat.c	Models FILLBOX.C:837 as a caller-owned mouse X coordinate read; no host cursor polling is performed.
ReDMCSB	F2048_GetMouseY	IMPLEMENTED_NARROW	DM1	include/dm1_v1_input_command_queue_pc34_compat.h; src/dm1/dm1_v1_input_command_queue_pc34_compat.c; tests/test_dm1_v1_f1128_f2008_f2009_f2010_f2024_f2047_f2048_mouse_accessors_pc34_compat.c	Models FILLBOX.C:843 as a caller-owned mouse Y coordinate read; no host cursor polling is performed.
ReDMCSB	F2122_DecodeAllPortraitsWhileLoading	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt019_portrait_save_pc34_compat.h; src/dm1/dm1_v1_cedt019_portrait_save_pc34_compat.c; tests/test_dm1_v1_f2122_f2123_f2124_cedt019_portrait_save_pc34_compat.c	Models CEDT019.C:41 as a four-portrait load-time decode gate over caller-owned proven planar portrait spans and existing PC34 32x29 conversion; missing proof or wrong count fails closed without synthesized champion data, portrait bytes, screen pixels, file IO, or events.
ReDMCSB	F2123_EncodeAllPortraitsBeforeSaving	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt019_portrait_save_pc34_compat.h; src/dm1/dm1_v1_cedt019_portrait_save_pc34_compat.c; tests/test_dm1_v1_f2122_f2123_f2124_cedt019_portrait_save_pc34_compat.c	Models CEDT019.C:58 as a four-portrait pre-save encode gate over caller-owned proven chunky portrait spans and existing PC34 32x29 conversion; it does not allocate, invent, or patch portrait payloads.
ReDMCSB	F2124_DecodeAllPortraitsAfterSaving	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt019_portrait_save_pc34_compat.h; src/dm1/dm1_v1_cedt019_portrait_save_pc34_compat.c; tests/test_dm1_v1_f2122_f2123_f2124_cedt019_portrait_save_pc34_compat.c	Models CEDT019.C:85 as a four-portrait post-save decode gate over caller-owned proven planar portrait spans and existing PC34 32x29 conversion; missing slots fail closed and no screen, input, file, or fallback portrait resource is synthesized.
ReDMCSB	F7017_GetIconIndex	IMPLEMENTED_NARROW	DM1	include/dm1_v1_dungeon_thing_data_pc34_compat.h; src/dm1/dm1_v1_dungeon_thing_data_pc34_compat.c; tests/test_dm1_v1_f7017_f7018_f7019_cedt004_thing_runtime_pc34_compat.c	Models CEDT004.C:188 as a source-named wrapper over the existing loaded raw Thing/object icon contract; missing raw records fail closed and no decoded-object fallback, graphics resource, direction state, or event is synthesized.
ReDMCSB	F7018_GetThingData	IMPLEMENTED_NARROW	DM1	include/dm1_v1_dungeon_thing_data_pc34_compat.h; src/dm1/dm1_v1_dungeon_thing_data_pc34_compat.c; tests/test_dm1_v1_f7017_f7018_f7019_cedt004_thing_runtime_pc34_compat.c	Models CEDT004.C:203 as a source-named wrapper over DUNGEON.C F0156 raw Thing record lookup; it returns only loaded caller-owned PC3.4 raw data and never creates substitute object records.
ReDMCSB	F7019_GetObjectInfoIndex	IMPLEMENTED_NARROW	DM1	include/dm1_v1_dungeon_thing_data_pc34_compat.h; src/dm1/dm1_v1_dungeon_thing_data_pc34_compat.c; tests/test_dm1_v1_f7017_f7018_f7019_cedt004_thing_runtime_pc34_compat.c	Models CEDT004.C:196/212 as a source-named wrapper over the existing DUNGEON.C F0141 object-info index contract; invalid Things and missing raw records fail closed without synthetic object info.
ReDMCSB	F7032_DrawChampionNameOnTopOfScreen	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt006_champion_editor_pc34_compat.h; src/dm1/dm1_v1_cedt006_champion_editor_pc34_compat.c; tests/test_dm1_v1_f7032_f7033_f7038_f7040_cedt006_hoc_select_pc34_compat.c	Models CEDT006.C:351 as a bounded Hall-of-Champions top-name receipt over caller-owned champion facts; absent champion records fail closed and no text surface, champion record, input event, or fallback resource is synthesized.
ReDMCSB	F7033_DrawPortraitsAndNamesOnTopOfScreen	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt006_champion_editor_pc34_compat.h; src/dm1/dm1_v1_cedt006_champion_editor_pc34_compat.c; tests/test_dm1_v1_f7032_f7033_f7038_f7040_cedt006_hoc_select_pc34_compat.c	Models CEDT006.C:372 as a bounded receipt count over caller-owned champion summaries and proven portrait pixels; it never creates portrait bytes, screen pixels, champion names, or fallback editor assets.
ReDMCSB	F7034_DrawButton	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt006_champion_editor_pc34_compat.h; src/dm1/dm1_v1_cedt006_champion_editor_pc34_compat.c; tests/test_dm1_v1_f7034_f7035_f7036_f7037_cedt006_hoc_render_undo_pc34_compat.c	Models CEDT006.C:398 as a bounded Hall-of-Champions editor button receipt over caller-owned source-proven box geometry and text; it requests box/text drawing but emits no screen pixels, fallback glyphs, or UI events.
ReDMCSB	F7035_SetSelectedColorBox	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt006_champion_editor_pc34_compat.h; src/dm1/dm1_v1_cedt006_champion_editor_pc34_compat.c; tests/test_dm1_v1_f7034_f7035_f7036_f7037_cedt006_hoc_render_undo_pc34_compat.c	Models CEDT006.C:423 as a bounded selected-color-box receipt over caller-owned source-proven palette-box geometry and a 0..15 color index; no color palette state or screen pixels are synthesized.
ReDMCSB	F7036_SetSelectedColorIndex	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt006_champion_editor_pc34_compat.h; src/dm1/dm1_v1_cedt006_champion_editor_pc34_compat.c; tests/test_dm1_v1_f7034_f7035_f7036_f7037_cedt006_hoc_render_undo_pc34_compat.c	Models CEDT006.C:442 as a bounded selected-color-index receipt that preserves previous/selected color boxes and clear/redraw requests; invalid indices or unproven boxes fail closed without palette mutation or draw synthesis.
ReDMCSB	F7037_UpdateUndoBitmap	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt006_champion_editor_pc34_compat.h; src/dm1/dm1_v1_cedt006_champion_editor_pc34_compat.c; tests/test_dm1_v1_f7034_f7035_f7036_f7037_cedt006_hoc_render_undo_pc34_compat.c	Models CEDT006.C:460 as a bounded undo-bitmap update over caller-owned proven selected-portrait bytes and a caller-owned undo buffer; missing proof, zero length, or undersized destination fails closed without invented portrait bytes.
ReDMCSB	F7038_PrintChampionNameOrTitleForEdition	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt006_champion_editor_pc34_compat.h; src/dm1/dm1_v1_cedt006_champion_editor_pc34_compat.c; tests/test_dm1_v1_f7032_f7033_f7038_f7040_cedt006_hoc_select_pc34_compat.c	Models CEDT006.C:472 as a bounded name/title edition receipt using only caller-owned champion text; missing champions fail closed without invented text or UI state.
ReDMCSB	F7039_DrawHealthOrStaminaOrMana	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt006_champion_editor_pc34_compat.h; src/dm1/dm1_v1_cedt006_champion_editor_pc34_compat.c; tests/test_dm1_v1_f7039_f7041_cedt006_hoc_editor_pc34_compat.c	Models CEDT006.C:493 as a bounded champion-editor/Hall-of-Champions status-line draw receipt over caller-owned name, value, and screenY facts; it emits no screen pixels, champion data, graphics resources, or fallback editor state.
ReDMCSB	F7040_SelectChampion	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt006_champion_editor_pc34_compat.h; src/dm1/dm1_v1_cedt006_champion_editor_pc34_compat.c; tests/test_dm1_v1_f7032_f7033_f7038_f7040_cedt006_hoc_select_pc34_compat.c	Models CEDT006.C:512 as a bounded champion-selection receipt over caller-owned champion summaries; it requests only proven name/title/portrait draws and does not synthesize champions, portraits, screen pixels, or editor input.
ReDMCSB	F7041_ProcessKeyboardInput	IMPLEMENTED_NARROW	DM1	include/dm1_v1_cedt006_champion_editor_pc34_compat.h; src/dm1/dm1_v1_cedt006_champion_editor_pc34_compat.c; tests/test_dm1_v1_f7039_f7041_cedt006_hoc_editor_pc34_compat.c	Models CEDT006.C:662 as bounded in-place text editing over an explicit caller-owned key sequence; it inserts/deletes only low-byte ASCII/control inputs and does not synthesize keyboard events, host polling, champion text, or UI resources.
ReDMCSB	F0142_DUNGEON_GetProjectileAspect	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_f0142_projectile_aspect_pc34_compat.c; src/dm1/dm1_v1_projectile_explosion_render_pc34_compat.c	Models DUNGEON.C:1165-1224 signed return contract: negative PROJECTIL_ASPECT ordinal for spells/weapon M066 projectile art, zero/positive G0237 OBJECT_ASPECT index for ordinary thrown objects; consumed by DM1 projectile material resolution.
ReDMCSB	F0222_GROUP_IsLordChaosOnSquare	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_endgame_system_pc34_compat.c; src/dm1/dm1_v1_endgame_system_pc34_compat.c	Models PROJEXPL.C F0222 over the loaded raw C04 square chain and returns the exact Lord Chaos Thing only when the source creature type is C23; absence does not synthesize a target.
ReDMCSB	F0223_GROUP_IsLordChaosAllowed	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_endgame_system_pc34_compat.c; src/dm1/dm1_v1_endgame_system_pc34_compat.c	Models GROUP.C F0223 square-type allow gate for Lord Chaos escape: corridor, teleporter, pit, and door are allowed; wall and stairs are rejected from loaded tile data.
ReDMCSB	F0224_GROUP_FluxCageAction	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_endgame_system_pc34_compat.c; src/dm1/dm1_v1_endgame_system_pc34_compat.c	Models PROJEXPL.C F0224 fluxcage action: wall/stairs and no-unused-C15 gates, C050 explosion Thing, C24 remove event fields, adjacent Lord Chaos north/west/east/south scan, and C29 danger reaction at two other fluxcages; live M11 consumption remains separate from the source-map closure.
ReDMCSB	F0225_GROUP_FuseAction	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_endgame_system_pc34_compat.c; src/dm1/dm1_v1_endgame_system_pc34_compat.c	Models PROJEXPL.C F0225 Fuse action over loaded Lord Chaos and fluxcage state; no synthetic target is created.
ReDMCSB	F0226_GROUP_GetDistanceBetweenSquares	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_creature_ai_behavior_pc34_compat.c; src/dm1/dm1_v1_creature_ai_behavior_pc34_compat.c; include/dm1_v1_creature_ai_behavior_pc34_compat.h	Models GROUP.C F0226 Manhattan square-distance helper over caller-owned loaded-map coordinates.
ReDMCSB	F0227_GROUP_IsDestinationVisibleFromSource	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_creature_ai_behavior_pc34_compat.c; src/dm1/dm1_v1_creature_ai_behavior_pc34_compat.c; include/dm1_v1_creature_ai_behavior_pc34_compat.h	Models GROUP.C F0227 rotated 90-degree coordinate-cone predicate; loaded-map path occlusion remains owned by F0199.
ReDMCSB	F0228_GROUP_GetDirectionsWhereDestinationIsVisibleFromSource	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_creature_ai_behavior_pc34_compat.c; src/dm1/dm1_v1_creature_ai_behavior_pc34_compat.c; include/dm1_v1_creature_ai_behavior_pc34_compat.h	Models GROUP.C F0228 primary/secondary visible direction selection and source RNG consumption for cardinal and diagonal ties.
ReDMCSB	F0229_GROUP_SetOrderedCellsToAttack	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_creature_ai_behavior_pc34_compat.c; tests/test_dm1_v1_ordered_cells_to_attack_pc34_compat.c; src/dm1/dm1_v1_creature_ai_behavior_pc34_compat.c; include/dm1_v1_creature_ai_behavior_pc34_compat.h	Models GROUP.C/PROJEXPL.C F0229 G0023 ordered-cell table selection from F0228 direction and source cell ordinal.
ReDMCSB	F0230_GROUP_GetChampionDamage	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_combat_pc34_compat_integration.c; tests/test_dm1_v1_sleep_wake_poison_gate_pc34_compat.c; src/dm1/dm1_v1_combat_pc34_compat.c	Models PROJEXPL.C F0230 creature-to-champion melee over source-shaped combat state: hit/luck/wound/staged attack rolls, F0308 luck mutation, F0321 damage/wound handoff, and poison gate; map-light/invisibility difficulty is caller-owned and not synthesized.
ReDMCSB	F0231_GROUP_GetMeleeActionDamage	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_action_f0407_tail_pc34_compat.c; src/dm1/dm1_v1_melee_action_f0402_pc34_compat.c; include/dm1_v1_melee_action_f0402_pc34_compat.h	Models PROJEXPL.C F0231 damage resolver, runtime side effects, luck writeback, group-damage, and aftermath dispatch over source-shaped combat snapshots.
ReDMCSB	F0232_GROUP_IsDoorDestroyedByAttack	VERIFIED_SOURCE_MAPPING	DM1	tests/test_dm1_v1_action_f0407_tail_pc34_compat.c; tests/test_dm1_v1_ra_door_projectile_reject_pc34_compat.c; src/dm1/dm1_v1_action_xp_graphic560_pc34_compat.c; src/dm1/dm1_v1_ra_door_projectile_reject_pc34_compat.c	Models PROJEXPL.C F0232 closed-door destruction gates for melee and projectile impact paths, including door defense, closed-state, delay, Open Door skip, and RA-door rejection.
