family	id	symbol	redmcsb_files	status	inventory_status	audit_basis
F	0007	F0007_MAIN_CopyBytes	SWSHSND.C;PANEL.C;ATARIST.H;CPCLRBYT.C;CASTER.C;VBLANK.C;LOADSAVE.C;MEMORY.C;FMTOWNS.H;DUNGEON.C;BLITMASK.C;DUNVIEW.C;COORD.C;COPYPRO3.C;DRAWVIEW.C;IIGS.H;REVIVE.C;MENU.C;CHAMDRAW.C;READWRIT.C;IO.C;CLIKMENU.C;PORTRAIT.C;BASE.C;DEFS.H;CHAMPION.C;IMAGE.C;DRAWMSGA.C;COMPILE.H;STARTUP2.C;MEM1MAIN.C;ENDGAME.C;COPYBYTE.C;PROJEXPL.C;ENTRANCE.C;MOVESENS.C;DIALOG.C;STARTUP1.C	implemented-narrow	implemented_narrow	C11 overlap-safe CopyBytes primitive directly tests forward/backward overlap, same-buffer, null, and nonpositive counts; production caller mapping remains unverified
F	0007	F0007_sub1_	COPYBYTE.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0007	F0007_sub1_XXXXXXXXXX_XXXXXXXXXX_XXXXXXXXXX	IIGS.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0007	F0007_sub2_	COPYBYTE.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0007	F0007_sub2_XXXXXXXXXX_XXXXXXXXXX_XXXXXXXXXX	IIGS.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	007	F007_aAA7_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0008	F0008_MAIN_ClearBytes	INPUT.C;ATARIST.H;CPCLRBYT.C;GROUP.C;FLOPPYAM.C;CEDTINCF.C;LOADSAVE.C;CEDTINCI.C;MEMORY.C;FMTOWNS.H;DUNGEON.C;LZW.C;DUNVIEW.C;IIGS.H;REVIVE.C;CHAMDRAW.C;READWRIT.C;IO.C;DEFS.H;CEDT017.C;HINT001.C;SWITCH.C;CEDTINC8.C;UTMEMORY.C;UTIO.C;CEDT013.C;DRAWMSGA.C;CEDTINC4.C;COMPILE.H;CEDT006.C;STARTUP2.C;HINTLZW.C;TEXT.C;CEDT012.C;HINTSCR.C;HINTINPT.C;TITLE.C;CLEARBYT.C;MOVESENS.C;DIALOG.C;CEDTINCD.C	implemented-narrow	implemented_narrow	C11 ClearBytes primitive directly tests bounded clear plus null and zero-count no-ops; production caller mapping remains unverified
F	008	F008_aA19_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0009	F0009_MAIN_WriteSpacedBytes	ATARIST.H;FMTOWNS.H;DUNVIEW.C;IIGS.H;CHAMDRAW.C;IO.C;BASE.C;DEFS.H;ENTRANCE.C	implemented-narrow	implemented_narrow	C11 spaced-byte writer directly tests stride, zero count, and zero spacing; production caller mapping remains unverified
F	009	F009_aA49_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0010	F0010_MAIN_WriteSpacedWords	ATARIST.H;MEMORY.C;FMTOWNS.H;DUNVIEW.C;IIGS.H;BASE.C;DEFS.H;ENDGAME.C;TITLE.C	implemented-narrow	implemented_narrow	C11 byte-spacing-to-word-stride writer directly tests spacing eight, zero count, and zero spacing; production caller mapping remains unverified
F	010	F010_aAA7_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0018	F0018_MAIN_SetExceptionVectors	ATARIST.H;IIGS.H;BASE.C;DEFS.H;STARTUP2.C;STARTUP1.C	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	018	F018_aaat_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0019	F0019_MAIN_DisplayErrorAndStop	ATARIST.H;GROUP.C;LOADSAVE.C;MEMORY.C;FMTOWNS.H;DUNGEON.C;IIGS.H;BASE.C;DEFS.H;GAMELOOP.C;TIMELINE.C;MAINLIB.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	019	F019_aarz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0020	F0020_MAIN_BlitToViewport	PANEL.C;ATARIST.H;FMTOWNS.H;IIGS.H;BASE.C;DEFS.H;DIALOG.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	020	F020_aAA5_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0021	F0021_MAIN_BlitToScreen	PANEL.C;ATARIST.H;FILLBOX.C;FMTOWNS.H;DRAWVIEW.C;IIGS.H;CHAMDRAW.C;BASE.C;DEFS.H;ACTIDRAW.C;IMAGE.C;ENDGAME.C;ENTRANCE.C;TITLE.C;DIALOG.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	021	F021_a002_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0022	F0022_MAIN_Delay	PANEL.C;ATARIST.H;LOADSAVE.C;FMTOWNS.H;IIGS.H;CLIKMENU.C;BASE.C;DEFS.H;TIMELINE.C;ENDGAME.C;ENTRANCE.C;TITLE.C;DIALOG.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0022	F0022_MAIN_SwooshDelay	FMTOWNS.H;SWSHIIGS.C;SWSH.C;NECIO.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	022	F022_aaaU_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0023	F0023_MAIN_GetAbsoluteValue	ATARIST.H;PRIM1.C;GROUP.C;FMTOWNS.H;IIGS.H;MENU.C;BASE.C;DEFS.H;CEDT002.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	023	F023_aarz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0024	F0024_MAIN_GetMinimumValue	PANEL.C;ATARIST.H;GROUP.C;LOADSAVE.C;MEMORY.C;FMTOWNS.H;DUNVIEW.C;COORD.C;IIGS.H;MENU.C;BASE.C;DEFS.H;CHAMPION.C;CEDT006.C;ENDGAME.C;PROJEXPL.C;TEXT.C;CEDT002.C;DIALOG.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	024	F024_aatz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0025	F0025_MAIN_GetMaximumValue	PANEL.C;ATARIST.H;GROUP.C;FMTOWNS.H;DUNVIEW.C;IIGS.H;REVIVE.C;MENU.C;CHAMDRAW.C;CLIKMENU.C;BASE.C;DEFS.H;CHAMPION.C;PROJEXPL.C;TEXT.C;CEDT002.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	025	F025_aatz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0026	F0026_MAIN_GetBoundedValue	ATARIST.H;GROUP.C;FMTOWNS.H;DUNVIEW.C;IIGS.H;MENU.C;BASE.C;DEFS.H;CHAMPION.C;CEDT006.C;CEDT002.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	026	F026_a003_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0027	F0027_MAIN_Get16bitRandomNumber	ATARIST.H;FMTOWNS.H;IIGS.H;BASE.C;DEFS.H;CEDT002.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	027	F027_AA59_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0028	F0028_MAIN_Get1BitRandomNumber	ATARIST.H;FMTOWNS.H;IIGS.H;BASE.C;DEFS.H;CEDT002.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	028	F028_a000_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0029	F0029_MAIN_Get2BitRandomNumber	ATARIST.H;FMTOWNS.H;IIGS.H;BASE.C;DEFS.H;CEDT002.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	029	F029_AA19_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0030	F0030_MAIN_GetScaledProduct	ATARIST.H;FMTOWNS.H;DUNGEON.C;IIGS.H;BASE.C;DEFS.H;CHAMPION.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	030	F030_aaaW_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0031	F0031_OBJECT_LoadNames	ATARIST.H;FMTOWNS.H;OBJECT.C;IIGS.H;DEFS.H;STARTUP2.C;STARTUP1.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	031	F031_aAA2_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0032	F0032_OBJECT_GetType	PANEL.C;ATARIST.H;FMTOWNS.H;OBJECT.C;IIGS.H;DEFS.H;MOVESENS.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	032	F032_aaaY_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0033	F0033_OBJECT_GetIconIndex	PANEL.C;ATARIST.H;FMTOWNS.H;OBJECT.C;CLIKVIEW.C;IIGS.H;MENU.C;CHAMDRAW.C;DEFS.H;ACTIDRAW.C;CHAMPION.C;TIMELINE.C;PROJEXPL.C;CHEST.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	033	F033_aaaz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0034	F0034_OBJECT_DrawLeaderHandObjectName	PANEL.C;ATARIST.H;FMTOWNS.H;OBJECT.C;IIGS.H;CHAMDRAW.C;DEFS.H;CHAMPION.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	034	F034_aaau_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0035	F0035_OBJECT_ClearLeaderHandObjectName	PANEL.C;ATARIST.H;FMTOWNS.H;OBJECT.C;IIGS.H;DEFS.H;CHAMPION.C;ENDGAME.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	035	F035_aaaw_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0036	F0036_OBJECT_ExtractIconFromBitmap	PANEL.C;ATARIST.H;FMTOWNS.H;OBJECT.C;IIGS.H;CHAMDRAW.C;DEFS.H;ACTIDRAW.C;CHAMPION.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	036	F036_aA19_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0037	F0037_OBJECT_DrawIconToScreen	PANEL.C;ATARIST.H;OBJECT.C;IIGS.H;DEFS.H	implemented_narrow	implemented_narrow	src/dm1/dm1_v1_object_draw_icon_to_screen_pc34_compat.c; source-bound 16x16 transparent icon blit, focused CTest
F	037	F037_aA29_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0038	F0038_OBJECT_DrawIconInSlotBox	ATARIST.H;FMTOWNS.H;OBJECT.C;IIGS.H;CHAMDRAW.C;DEFS.H;CHEST.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	038	F038_AA07_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0039	F0039_OBJECT_GetIconIndexInSlotBox	ATARIST.H;FMTOWNS.H;OBJECT.C;IIGS.H;CHAMDRAW.C;DEFS.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	039	F039_aaaL_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0040	F0040_TEXT_Print	ATARIST.H;FMTOWNS.H;IIGS.H;MENU.C;DEFS.H;TEXT.C;DIALOG.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	040	F040_aacZ_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0041	F0041_TEXT_PrintWithTrailingSpaces	ATARIST.H;FMTOWNS.H;IIGS.H;DEFS.H;ACTIDRAW.C;TEXT.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	041	F041_aadZ_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0042	F0042_TEXT_MESSAGEAREA_MoveCursor	FMTOWNS.H;IIGS.H;DEFS.H;TEXT.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0043	F0043_TEXT_MESSAGEAREA_ClearAllRows	ATARIST.H;FLOPPYAM.C;FMTOWNS.H;IIGS.H;DEFS.H;ENDGAME.C;TEXT.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	043	F043_aahz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0044	F0044_TEXT_MESSAGEAREA_ClearExpiredRows	FMTOWNS.H;IIGS.H;DEFS.H;GAMELOOP.C;TEXT.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0045	F0045_TEXT_MESSAGEAREA_CreateNewRow	IIGS.H;DEFS.H;TEXT.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0046	F0046_TEXT_MESSAGEAREA_PrintString	IIGS.H;DEFS.H;TEXT.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0047	F0047_TEXT_MESSAGEAREA_PrintMessage	INPUT.C;ATARIST.H;FLOPPYAM.C;MEMORY.C;FMTOWNS.H;IIGS.H;REVIVE.C;MENU.C;SPELFAIL.C;BASE.C;DEFS.H;CHAMPION.C;TIMELINE.C;STARTUP2.C;ENDGAME.C;TEXT.C;MOVESENS.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	047	F047_xzzz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0048	F0048_TEXT_MESSAGEAREA_PrintCharacter	FMTOWNS.H;IIGS.H;BASE.C;DEFS.H;TEXT.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0049	F0049_TEXT_MESSAGEAREA_PrintInteger_Unreferenced	FMTOWNS.H;IIGS.H;DEFS.H;TEXT.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0050	F0050_TEXT_MESSAGEAREA_PrintSpace_Unreferenced	FMTOWNS.H;IIGS.H;DEFS.H;TEXT.C	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0051	F0051_TEXT_MESSAGEAREA_PrintLineFeed	ATARIST.H;FMTOWNS.H;IIGS.H;REVIVE.C;SPELFAIL.C;DEFS.H;CHAMPION.C;STARTUP2.C;TEXT.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	051	F051_AA19_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0052	F0052_TEXT_PrintToViewport	PANEL.C;ATARIST.H;FMTOWNS.H;IIGS.H;REVIVE.C;CHAMDRAW.C;DEFS.H;TEXT.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	052	F052_aaoz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0053	F0053_TEXT_PrintToLogicalScreen	ATARIST.H;FMTOWNS.H;IIGS.H;SPELDRAW.C;CHAMDRAW.C;DEFS.H;ACTIDRAW.C;CHAMPION.C;ENDGAME.C;TEXT.C;MENUDRAW.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	053	F053_aajz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0054	F0054_TEXT_Initialize	ATARIST.H;FMTOWNS.H;IIGS.H;DEFS.H;STARTUP2.C;TEXT.C;STARTUP1.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	054	F054_aAA1_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0060	F0060_SOUND_Play_CPSX	ATARIST.H;ANIM.C;FMTOWNS.H;IIGS.H;COMMAND.C;IO.C;DEFS.H;TOWNSIO.C;SELECTOR.C;SOUND.C;ENTRANCE.C;ANIMSND.C;SWSH.C	implemented_narrow	implemented_narrow	src/csb/csb_v1_audio_runtime_pc34_compat.c; packed Atari ST PSG decode, focused CTest
F	060	F060_AA29_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0061	F0061_SOUND_SetChannelAmplitudes	IIGS.H;DEFS.H;SOUND.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0062	F0062_SOUND_Initialize	ATARIST.H;IIGS.H;DEFS.H;STARTUP2.C;SOUND.C;STARTUP1.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	062	F062_aalz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0063	F0063_SOUND_KeyClickOff	ATARIST.H;IIGS.H;DEFS.H;SOUND.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	063	F063_aA05_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0064	F0064_SOUND_RequestPlay_CPSD	PANEL.C;ATARIST.H;GROUP.C;FMTOWNS.H;CLIKVIEW.C;IIGS.H;MENU.C;CLIKMENU.C;DEFS.H;CHAMPION.C;TIMELINE.C;ENDGAME.C;SOUND.C;PROJEXPL.C;MOVESENS.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	064	F064_aadz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0065	F0065_SOUND_PlayPendingSound_CPSD	ATARIST.H;FMTOWNS.H;IIGS.H;DEFS.H;GAMELOOP.C;ENDGAME.C;SOUND.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	065	F065_aanz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0066	F0066_MOUSE_Initialize	ATARIST.H;FMTOWNS.H;IIGS.H;IO.C;CEDT028.C;DEFS.H;SWITCH.C;CEDT026.C;STARTUP2.C;STARTUP1.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	066	F066_aalz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0067	F0067_MOUSE_SetPointerToNormal	ATARIST.H;FMTOWNS.H;IIGS.H;REVIVE.C;IO.C;DEFS.H;CHAMPION.C;MOUSESET.C;STARTUP2.C;ENDGAME.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	067	F067_aaat_	ATARIST.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0068	F0068_MOUSE_SetPointerToObject	ATARIST.H;FMTOWNS.H;IIGS.H;CHAMDRAW.C;IO.C;DEFS.H;CHAMPION.C;MOUSESET.C;GAMELOOP.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	068	F068_aagz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0069	F0069_MOUSE_SetPointer	ATARIST.H;FMTOWNS.H;IIGS.H;CHAMPRST.C;DEFS.H;CHAMPION.C;MOUSESET.C;STARTUP2.C	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	069	F069_aaaL_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0070	F0070_MOUSE_ProcessCommands125To128_ClickOnChampionIcon	ATARIST.H;FMTOWNS.H;IIGS.H;COMMAND.C;IO.C;DEFS.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	070	F070_aajz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0071	F0071_MOUSE_DropChampionIcon	IIGS.H;IO.C;BASE.C;DEFS.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0073	F0073_MOUSE_BuildPointerScreenArea	INPUT.C;IIGS.H;IO.C;BASE.C;DEFS.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0074	F0074_MOUSE_DrawPointerScreenArea	IIGS.H;IO.C;DEFS.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0075	F0075_MOUSE_Exception70Handler_IKBD_MIDI_MouseStatus	ATARIST.H;IIGS.H;IO.C;DEFS.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	075	F075_xxxx_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0076	F0076_MOUSE_OnMouseButtonsStatusChange	ATARIST.H;IIGS.H;IO.C;IBMIO.C;DEFS.H;NECIO.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	076	F076_xxxx_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0077	F0077_MOUSE_EnableScreenUpdate_CPSE	PANEL.C;ATARIST.H;CASTER.C;CEDTINCF.C;REQDISK.C;LOADSAVE.C;CEDTINCI.C;FMTOWNS.H;DRAWVIEW.C;IIGS.H;SPELDRAW.C;REVIVE.C;MENU.C;CHAMDRAW.C;IO.C;CLIKMENU.C;DEFS.H;UTAMSCR.C;ACTIDRAW.C;CEDT017.C;HINT001.C;SWITCH.C;CHAMPION.C;CEDT026.C;UTIO.C;GAMELOOP.C;TIMELINE.C;HINTHINT.C;DRAWMSGA.C;CEDTINC4.C;CEDT006.C;STARTUP2.C;ENDGAME.C;CEDTINCM.C;TEXT.C;ENTRANCE.C;HINTSCR.C;HINTINPT.C;CEDT008.C;SYMBOL.C;DIALOG.C;CEDTINCN.C;UTILITY.H;MENUDRAW.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	077	F077_aA39_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0078	F0078_MOUSE_DisableScreenUpdate	PANEL.C;ATARIST.H;CASTER.C;CEDTINCF.C;REQDISK.C;LOADSAVE.C;CEDTINCI.C;FMTOWNS.H;DRAWVIEW.C;IIGS.H;SPELDRAW.C;REVIVE.C;MENU.C;CHAMDRAW.C;IO.C;CLIKMENU.C;DEFS.H;UTAMSCR.C;ACTIDRAW.C;CEDT017.C;HINT001.C;SWITCH.C;CHAMPION.C;CEDT026.C;UTIO.C;GAMELOOP.C;TIMELINE.C;HINTHINT.C;DRAWMSGA.C;CEDTINC4.C;CEDT006.C;STARTUP2.C;CEDT018.C;CEDTINCM.C;TEXT.C;ENTRANCE.C;HINTSCR.C;HINTINPT.C;CEDT008.C;SYMBOL.C;DIALOG.C;STARTUP1.C;CEDTINCN.C;UTILITY.H;MENUDRAW.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	078	F078_xzzz_	ATARIST.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0079	F0079_CPSC_GetChecksumAdd	ATARIST.H;LOADSAVE.C;IIGS.H;DEFS.H;COPYPRO1.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	079	F079_a002_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0086	F0086_strcat	CEDTINCF.C;CEDTINCE.C;FIO1.C;FMTOWNS.H;STRING.C;CEDTINC1.C;DEFS.H;HINTIORQ.C;UTILITY.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0087	F0087_strcmp	CEDTINCF.C;CEDT014.C;FIO1.C;FMTOWNS.H;CEDT016.C;STRING.C;DEFS.H;UTIO.C;FLOPPY.C;CEDT023.C;CEDTINC7.C;UTILITY.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0088	F0088_strcpy	PRIM1.C;CEDTINCF.C;CEDTINCE.C;FIO1.C;CEDTINCI.C;FMTOWNS.H;CEDT016.C;STRING.C;CEDTINC1.C;DEFS.H;SWITCH.C;UTIO.C;CEDT023.C;HINTIORQ.C;CEDT001.C;UTILITY.H;CEDTINCD.C	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0089	F0089_strncpy	FMTOWNS.H;STRING.C;DEFS.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0090	F0090_strlen	AMIGINIT.C;FIO1.C;FMTOWNS.H;CEDT016.C;CEDTINC2.C;HINTHTC.C;STRING.C;CEDTINC1.C;DEFS.H;HINTTEXT.C;HINTHINT.C;CEDT013.C;CEDTINC4.C;FLOPPY.C;CEDT006.C;CEDT023.C;CNFG.C;HINTIORQ.C;UTILITY.H;IO2.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0091	F0091_strchr	FMTOWNS.H;STRING.C;DEFS.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
F	0093	F0093_DUNGEONVIEW_ApplyCreatureReplacementColors	DUNVIEW.C;IIGS.H;DEFS.H	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	0094	F0094_DUNGEONVIEW_LoadFloorSet	ATARIST.H;FMTOWNS.H;DUNVIEW.C;IIGS.H;DEFS.H;STARTUP2.C;STARTUP1.C	referenced-not-verified	referenced_not_verified	exact identifier found by inventory scan; not reviewed as implementation
F	094	F094_mzzz_	ATARIST.H	missing	unmapped_or_unverified	no exact identifier found by inventory scan
