symbol	kind	family	reference_source	baseline_status	disposition	evidence
F0150_DUNGEON_UpdateMapCoordinatesAfterRelativeMovement	F	DUNGEON	ATARIST.H:81	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_movement_command_rotation_between_steps_runtime_pc34_compat.c:49; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0151_DUNGEON_GetSquare	F	DUNGEON	ATARIST.H:82	IMPLEMENTED_NARROW	SOURCE_LOCKED_REAL_BYTE_MAP_ACCESSOR	src/csb/csb_v1_dungeon_loader_pc34_compat.c; ReDMCSB DUNGEON.C:1423-1478; accepts only bounded real PC34 byte-map ownership and reproduces defined adjacent-corridor edge-wall flags.
F0152_DUNGEON_GetRelativeSquare	F	DUNGEON	DEFS.H:7262	IMPLEMENTED_NARROW	SOURCE_LOCKED_REAL_BYTE_MAP_RELATIVE_ACCESSOR	src/csb/csb_v1_dungeon_loader_pc34_compat.c; ReDMCSB DUNGEON.C:1481-1488; source direction vectors and F0151 owner only.
F0153_DUNGEON_GetRelativeSquareType	F	DUNGEON	ATARIST.H:83	IMPLEMENTED_NARROW	SOURCE_LOCKED_REAL_BYTE_MAP_RELATIVE_TYPE	src/csb/csb_v1_dungeon_loader_pc34_compat.c; ReDMCSB DUNGEON.C:1495-1504; type derives only from F0152 source result.
F0154_DUNGEON_GetLocationAfterLevelChange	F	DUNGEON	ATARIST.H:84	IMPLEMENTED	SOURCE_LOCKED_REAL_MAP_DESCRIPTOR_OWNER	src/csb/csb_v1_dungeon_loader_pc34_compat.c; ReDMCSB DUNGEON.C:1508-1554; uses only PC34 MAP Level/Offset/Width/Height and commits coordinates only with a matching target map.
F0155_DUNGEON_GetStairsExitDirection	F	DUNGEON	ATARIST.H:85	IMPLEMENTED	SOURCE_LOCKED_REAL_STAIRS_EXIT_OWNER	src/csb/csb_v1_dungeon_loader_pc34_compat.c; ReDMCSB DUNGEON.C:1560-1582; F0151 edge walls drive the exact orientation/blocked direction result.
F0156_DUNGEON_GetThingData	F	DUNGEON	ATARIST.H:86	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_dungeon_loader_pc34_compat.c:11; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0157_DUNGEON_GetSquareFirstThingData	F	DUNGEON	ATARIST.H:87	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/dm1/dm1_v1_collision_door_pc34_compat.c:33; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0158_DUNGEON_GetWeaponInfo	F	DUNGEON	AMMO.C:52	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/dm1/dm1_v1_champion_panel_ammunition_compatibility_pc34_compat.c:17; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0159_DUNGEON_GetNextThing	F	DUNGEON	ATARIST.H:89	IMPLEMENTED_NARROW	SOURCE_LOCKED_REAL_THING_CHAIN_ACCESSOR	src/csb/csb_v1_dungeon_loader_pc34_compat.c; ReDMCSB DUNGEON.C:1664-1676; returns Generic.Next only from a bounded real PC34 Thing record.
F0160_DUNGEON_GetSquareFirstThingIndex	F	DUNGEON	DEFS.H:7315	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_dungeon_loader_pc34_compat.c:391; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0161_DUNGEON_GetSquareFirstThing	F	DUNGEON	ATARIST.H:90	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_dungeon_loader_pc34_compat.c:34; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0162_DUNGEON_GetSquareFirstObject	F	DUNGEON	ATARIST.H:91	IMPLEMENTED_NARROW	SOURCE_LOCKED_REAL_THING_CHAIN_FILTER	src/csb/csb_v1_dungeon_loader_pc34_compat.c; ReDMCSB DUNGEON.C:1748-1760; starts at F0161 and walks F0159 until C04_GROUP-or-later, bounded and fail-closed.
F0163_DUNGEON_LinkThingToList	F	DUNGEON	ATARIST.H:92	IMPLEMENTED	SOURCE_LOCKED_ATOMIC_REAL_THING_LINK	src/csb/csb_v1_dungeon_world_pc34_compat.c; ReDMCSB DUNGEON.C:1769-1838; real PC34 tail/empty-square link commits only with its F0164 partner.
F0164_DUNGEON_UnlinkThingFromList	F	DUNGEON	ATARIST.H:93	IMPLEMENTED	SOURCE_LOCKED_ATOMIC_REAL_THING_UNLINK	src/csb/csb_v1_dungeon_world_pc34_compat.c; ReDMCSB DUNGEON.C:1840-1907; a rejected post-unlink F0163 target restores the complete original byte arena.
F0165_DUNGEON_GetDiscardedThing	F	DUNGEON	DEFS.H:7344	IMPLEMENTED_NARROW	SOURCE_LOCKED_DISCARD_SELECTION	include/dm1_csb_f0165_dungeon_discarded_thing_pc34_compat.h; focused CTest.
F0166_DUNGEON_GetUnusedThing	F	DUNGEON	ATARIST.H:94	IMPLEMENTED	SOURCE_LOCKED_REAL_DB_ALLOCATOR	src/csb/csb_v1_dungeon_loader_pc34_compat.c; ReDMCSB DUNGEON.C:2085-2127; real DB record scan, JUNK bone reserve, full-record clear, and caller-owned F0165 exhaustion path.
F0167_DUNGEON_GetObjectForProjectileLauncherOrObjectGenerator	F	DUNGEON	ATARIST.H:95	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_runtime_pc34_compat.c:5921; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0168_DUNGEON_DecodeText	F	DUNGEON	ATARIST.H:96	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/engine/m11_game_view.c:10791; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0169_DUNGEON_GetRandomOrnamentIndex	F	DUNGEON	DEFS.H:7362	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/engine/m11_game_view.c:5881; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0170_DUNGEON_GetRandomOrnamentOrdinal	F	DUNGEON	DEFS.H:7363	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_dungeon_loader_pc34_compat.c:691; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0171_DUNGEON_SetSquareAspectRandomWallOrnamentOrdinals	F	DUNGEON	DEFS.H:7364	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/engine/m11_game_view.c:19248; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0172_DUNGEON_SetSquareAspect	F	DUNGEON	ATARIST.H:97	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_viewport_d2c_f0111_door_front_pc34_compat.c:31; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0173_DUNGEON_SetCurrentMap	F	DUNGEON	ATARIST.H:98	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_boot.c:7107; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0174_DUNGEON_SetCurrentMapAndPartyMap	F	DUNGEON	ATARIST.H:99	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	No current Firestaff implementation reference; behavioral equivalence remains unverified.
F0175_GROUP_GetThing	F	GROUP	ATARIST.H:100	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_dungeon_world_pc34_compat.c:46; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0176_GROUP_GetCreatureOrdinalInCell	F	GROUP	ATARIST.H:101	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/dm1/dm1_v1_combat_pc34_compat.c:870; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0177_GROUP_GetMeleeTargetCreatureOrdinal	F	GROUP	ATARIST.H:102	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/dm1/dm1_v1_combat_pc34_compat.c:900; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0178_GROUP_GetGroupValueUpdatedWithCreatureValue	F	GROUP	ATARIST.H:103	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/dm1/dm1_v1_creature_render_pc34_compat.c:754; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0179_GROUP_GetCreatureAspectUpdateTime	F	GROUP	DEFS.H:2893	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_runtime_pc34_compat.c:6669; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0180_GROUP_StartWandering	F	GROUP	ATARIST.H:104	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_runtime_pc34_compat.c:12330; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0181_GROUP_DeleteEvents	F	GROUP	ATARIST.H:105	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_runtime_pc34_compat.c:6412; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0182_GROUP_StopAttacking	F	GROUP	ATARIST.H:106	IMPLEMENTED_NARROW	SOURCE_LOCKED_GROUP_STOP	include/csb_v1_f0182_group_stop_attacking_pc34_compat.h; focused CTest.
F0183_GROUP_AddActiveGroup	F	GROUP	ATARIST.H:107	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/nexus/nexus_v1_creatures.c:43; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0184_GROUP_RemoveActiveGroup	F	GROUP	ATARIST.H:108	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_runtime_pc34_compat.c:6550; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0185_GROUP_GetGenerated	F	GROUP	ATARIST.H:109	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_runtime_pc34_compat.c:12285; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0186_GROUP_DropCreatureFixedPossessions	F	GROUP	DEFS.H:2896	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_monster_pc34_compat.c:10; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
F0187_GROUP_DropMovingCreatureFixedPossessions	F	GROUP	ATARIST.H:110	UNCERTAIN_NUMBERED_EVIDENCE	REQUIRES_BEHAVIORAL_REVIEW	src/csb/csb_v1_monster_pc34_compat.c:572; Exact numeric token occurs in Firestaff source; this audit did not verify behavioral equivalence or implementation.
